Typ_klienta	Znizka_dla_klienta	Darmowy_transport
Gosc	5%	TAK
Zarejestrowany	10%	TAK
Gosc	1%	TAK
Gosc	1%	NIE
Zarejestrowany	13%	TAK
Gosc	15%	TAK
Zarejestrowany	7%	NIE
Super-klient	5%	NIE
Super-klient	10%	TAK
Super-klient	15%	TAK
Super-klient	7%	NIE
Super-klient	7%	TAK
Gosc	7%	TAK
Zarejestrowany	7%	TAK
Zarejestrowany	13%	NIE
Super-klient	10%	NIE
Zarejestrowany	15%	NIE
Super-klient	13%	TAK
Gosc	20%	TAK
Zarejestrowany	20%	TAK
Gosc	10%	TAK
Gosc	0%	NIE
Super-klient	0%	NIE
Gosc	0%	TAK
Zarejestrowany	15%	TAK
Super-klient	13%	NIE
Zarejestrowany	5%	TAK
Super-klient	20%	TAK
Zarejestrowany	1%	TAK
Super-klient	5%	TAK
Gosc	10%	NIE
Gosc	20%	NIE
Gosc	15%	NIE
Super-klient	1%	TAK
Zarejestrowany	0%	TAK
Gosc	13%	TAK
Gosc	7%	NIE
Super-klient	15%	NIE
Super-klient	0%	TAK
Gosc	5%	NIE
Super-klient	20%	NIE
Zarejestrowany	5%	NIE
Gosc	13%	NIE
Zarejestrowany	0%	NIE
Zarejestrowany	1%	NIE
Super-klient	1%	NIE
Zarejestrowany	10%	NIE
Zarejestrowany	20%	NIE
